id,dialog_name,tab_name,group_box,control_name,control_type,breadcrumb_path,launch_command,automation_id,registry_key,synonyms,description,source,windows_versions_confirmed,last_verified
network-internet.advanced-network.all-file-sharing-connections,Network & internet,Advanced network settings,All networks,File sharing connections,ComboBox,Network & internet > Advanced network settings > Advanced sharing settings > All networks > File sharing connections,ms-settings:network-advancedsharing,,,encryption level|file sharing encryption|network encryption|sharing security,Sets the encryption level for file sharing connections (128-bit recommended).,Vision,,2026-06-22
network-internet.advanced-network.all-password-protected-sharing,Network & internet,Advanced network settings,All networks,Password protected sharing,Toggle,Network & internet > Advanced network settings > Advanced sharing settings > All networks > Password protected sharing,ms-settings:network-advancedsharing,,,share password|protected sharing|network password|sharing authentication,"Restricts shared files, printers, and Public folders to people with a user account and password on this PC.",Vision,,2026-06-22
network-internet.advanced-network.ethernet-adapter,Network & internet,Advanced network settings,Network adapters,Ethernet,Button,Network & internet > Advanced network settings > Network adapters > Ethernet,ms-settings:network-status,,,ethernet adapter|wired network|lan adapter|network card,Manages the Ethernet network adapter.,Vision,,2026-06-22
network-internet.advanced-network.wifi-adapter,Network & internet,Advanced network settings,Network adapters,Wi-Fi,Button,Network & internet > Advanced network settings > Network adapters > Wi-Fi,ms-settings:network-status,,,wifi adapter|wireless adapter|wlan adapter|network card,Manages the Wi-Fi network adapter.,Vision,,2026-06-22
network-internet.advanced-network.advanced-sharing-settings-nav,Network & internet,Advanced network settings,More settings,Advanced sharing settings,Hyperlink,Network & internet > Advanced network settings > More settings > Advanced sharing settings,ms-settings:network-advancedsharing,,,sharing settings|network discovery settings|file sharing config,Opens advanced sharing settings to change network discovery and sharing settings.,Vision,,2026-06-22
network-internet.advanced-network.data-usage,Network & internet,Advanced network settings,More settings,Data usage,Hyperlink,Network & internet > Advanced network settings > More settings > Data usage,ms-settings:datausage,,,network data|data consumption|internet usage|bandwidth usage,View and manage data usage for network connections.,Vision,,2026-06-22
network-internet.advanced-network.hardware-connection-properties,Network & internet,Advanced network settings,More settings,Hardware and connection properties,Hyperlink,Network & internet > Advanced network settings > More settings > Hardware and connection properties,ms-settings:network-status,,,network hardware info|connection details|adapter properties|network info,View hardware and connection properties for network adapters.,Vision,,2026-06-22
network-internet.advanced-network.network-reset-nav,Network & internet,Advanced network settings,More settings,Network reset,Hyperlink,Network & internet > Advanced network settings > More settings > Network reset,ms-settings:network-status,,,reset network|factory reset network|clear network settings,Resets all network adapters to factory settings.,Vision,,2026-06-22
network-internet.advanced-network.windows-firewall,Network & internet,Advanced network settings,Related settings,Windows Firewall,Hyperlink,Network & internet > Advanced network settings > Related settings > Windows Firewall,ms-settings:windowsdefender,,,firewall settings|windows defender firewall|network protection,Opens Windows Firewall settings for network protection.,Vision,,2026-06-22
network-internet.advanced-network.internet-options,Network & internet,Advanced network settings,Related settings,Internet options,Hyperlink,Network & internet > Advanced network settings > Related settings > Internet options,inetcpl.cpl,,,internet properties|ie settings|browser settings|connection options,Opens Internet Options control panel for connection and browser settings.,Vision,,2026-06-22
network-internet.dial-up.set-up-new-connection,Network & internet,Dial-up,,Set up a new connection,Hyperlink,Network & internet > Dial-up > Set up a new connection,ms-settings:network-dialup,,,dial up connection|ppp connection|modem setup|new dialup,Sets up a new dial-up internet connection.,Vision,,2026-06-22
network-internet.proxy.automatically-detect-settings,Network & internet,Proxy,Automatic proxy setup,Automatically detect settings,Toggle,Network & internet > Proxy > Automatic proxy setup > Automatically detect settings,ms-settings:network-proxy,,,auto detect proxy|wpad|proxy auto config|automatic proxy,Automatically detects proxy settings for network connections.,Vision,,2026-06-22
network-internet.proxy.use-setup-script,Network & internet,Proxy,Automatic proxy setup,Use setup script,Button,Network & internet > Proxy > Automatic proxy setup > Use setup script,ms-settings:network-proxy,,,proxy script|pac file|proxy auto config script|setup script,Configures a proxy setup script for automatic proxy configuration.,Vision,,2026-06-22
network-internet.proxy.use-proxy-server,Network & internet,Proxy,Manual proxy setup,Use a proxy server,Button,Network & internet > Proxy > Manual proxy setup > Use a proxy server,ms-settings:network-proxy,,,manual proxy|proxy address|proxy port|configure proxy,Manually configures a proxy server for network connections.,Vision,,2026-06-22
network-internet.airplane-mode.airplane-mode-toggle,Network & internet,Airplane mode,,Airplane mode,Toggle,Network & internet > Airplane mode > Airplane mode,ms-settings:network-airplanemode,,,flight mode|airplane|disable wireless|offline mode,Turns on or off Airplane mode to disable all wireless communications.,Vision,,2026-06-22
network-internet.airplane-mode.wifi,Network & internet,Airplane mode,Wireless devices,Wi-Fi,Toggle,Network & internet > Airplane mode > Wireless devices > Wi-Fi,ms-settings:network-airplanemode,,,wifi in airplane mode|wireless lan|wlan toggle|airplane wifi,Controls Wi-Fi connectivity when Airplane mode is active.,Vision,,2026-06-22
network-internet.airplane-mode.bluetooth,Network & internet,Airplane mode,Wireless devices,Bluetooth,Toggle,Network & internet > Airplane mode > Wireless devices > Bluetooth,ms-settings:network-airplanemode,,,bluetooth in airplane mode|bt toggle|wireless bluetooth|airplane bluetooth,Controls Bluetooth connectivity when Airplane mode is active.,Vision,,2026-06-22
network-internet.airplane-mode.help-with-airplane-mode,Network & internet,Airplane mode,Related support,Help with Airplane mode,Hyperlink,Network & internet > Airplane mode > Related support > Help with Airplane mode,ms-settings:network-airplanemode,,,airplane mode help|flight mode support|airplane mode troubleshooting,Provides support links and resources for Airplane mode issues.,Vision,,2026-06-22
network-internet.mobile-hotspot.mobile-hotspot-toggle,Network & internet,Mobile hotspot,,Mobile hotspot,Toggle,Network & internet > Mobile hotspot > Mobile hotspot,ms-settings:network-mobilehotspot,,,tethering|internet sharing|wifi hotspot|personal hotspot,Enables or disables the mobile hotspot to share your internet connection.,Vision,,2026-06-22
network-internet.mobile-hotspot.share-connection-from,Network & internet,Mobile hotspot,,Share my internet connection from,ComboBox,Network & internet > Mobile hotspot > Share my internet connection from,ms-settings:network-mobilehotspot,,,internet source|share from|connection source|tether source,Selects the internet connection source to share via mobile hotspot.,Vision,,2026-06-22
network-internet.mobile-hotspot.share-over,Network & internet,Mobile hotspot,,Share over,ComboBox,Network & internet > Mobile hotspot > Share over,ms-settings:network-mobilehotspot,,,hotspot type|share method|connection type|wifi sharing,"Selects the method to share the internet connection (Wi-Fi, Bluetooth, etc.).",Vision,,2026-06-22
network-internet.mobile-hotspot.network-properties-edit,Network & internet,Mobile hotspot,Properties,Network properties,Button,Network & internet > Mobile hotspot > Properties > Network properties,ms-settings:network-mobilehotspot,,,hotspot name|hotspot password|ssid|network config,"Edits the mobile hotspot network name, password, and band settings.",Vision,,2026-06-22
network-internet.mobile-hotspot.help-with-mobile-hotspot,Network & internet,Mobile hotspot,Related support,Help with Mobile hotspot,Hyperlink,Network & internet > Mobile hotspot > Related support > Help with Mobile hotspot,ms-settings:network-mobilehotspot,,,hotspot help|tethering support|internet sharing help,Provides support links and resources for mobile hotspot issues.,Vision,,2026-06-22
network-internet.vpn.add-vpn,Network & internet,VPN,,Add VPN,Button,Network & internet > VPN > Add VPN,ms-settings:network-vpn,,,new vpn|create vpn|vpn connection|add virtual private network,Adds a new VPN connection to the device.,Vision,,2026-06-22
network-internet.vpn.allow-vpn-metered,Network & internet,VPN,Advanced settings for all VPN connections,Allow VPN over metered networks,Toggle,Network & internet > VPN > Advanced settings for all VPN connections > Allow VPN over metered networks,ms-settings:network-vpn,,,vpn metered|vpn mobile data|vpn limited connection|metered vpn,Allows VPN connections over metered networks.,Vision,,2026-06-22
network-internet.vpn.allow-vpn-roaming,Network & internet,VPN,Advanced settings for all VPN connections,Allow VPN while roaming,Toggle,Network & internet > VPN > Advanced settings for all VPN connections > Allow VPN while roaming,ms-settings:network-vpn,,,vpn roaming|vpn abroad|vpn travel|roaming vpn,Allows VPN connections while roaming on mobile networks.,Vision,,2026-06-22
network-internet.vpn.help-with-vpn,Network & internet,VPN,Related support,Help with VPN,Hyperlink,Network & internet > VPN > Related support > Help with VPN,ms-settings:network-vpn,,,vpn support|vpn help|virtual private network help|vpn troubleshooting,Provides support links and resources for VPN issues.,Vision,,2026-06-22
network-internet.wifi.wifi-toggle,Network & internet,Wi-Fi,,Wi-Fi,Toggle,Network & internet > Wi-Fi > Wi-Fi,ms-settings:network-wifi,,,wireless|wlan|wifi on off|enable wifi,Enables or disables Wi-Fi wireless connectivity.,Vision,,2026-06-22
network-internet.wifi.connected-network-properties,Network & internet,Wi-Fi,,Connected network properties,Hyperlink,Network & internet > Wi-Fi > Connected network properties,ms-settings:network-wifi,,,wifi network details|current network|connected wifi|network info,Opens properties for the currently connected Wi-Fi network.,Vision,,2026-06-22
network-internet.wifi.show-available-networks,Network & internet,Wi-Fi,,Show available networks,Button,Network & internet > Wi-Fi > Show available networks,ms-settings:network-wifi,,,wifi list|available wifi|scan networks|find wifi,Shows the list of available Wi-Fi networks to connect to.,Vision,,2026-06-22
network-internet.wifi.manage-known-networks,Network & internet,Wi-Fi,,Manage known networks,Hyperlink,Network & internet > Wi-Fi > Manage known networks,ms-settings:network-wifi,,,saved wifi|known wifi networks|forget network|wifi profiles,"Add, remove, and edit saved Wi-Fi networks and profiles.",Vision,,2026-06-22
network-internet.wifi.hardware-properties,Network & internet,Wi-Fi,,Hardware properties,Hyperlink,Network & internet > Wi-Fi > Hardware properties,ms-settings:network-wifi,,,wifi adapter properties|wireless hardware|adapter details|wifi card info,View and manage Wi-Fi adapter hardware properties.,Vision,,2026-06-22
network-internet.wifi.random-hardware-addresses,Network & internet,Wi-Fi,,Random hardware addresses,Toggle,Network & internet > Wi-Fi > Random hardware addresses,ms-settings:network-wifi,,,mac randomization|spoof mac|privacy wifi|random mac address,Helps protect your privacy by using random MAC addresses to make it harder to track your device location.,Vision,,2026-06-22
personalization.background.personalize-background,Personalization,Background,,Personalize your background,ComboBox,Personalization > Background > Personalize your background,ms-settings:personalization-background,,,wallpaper|desktop background|background type|picture slideshow solid color,"Chooses the background type for the desktop: picture, solid color, or slideshow.",Vision,,2026-06-22
personalization.background.choose-photo,Personalization,Background,,Choose a photo,Button,Personalization > Background > Choose a photo,ms-settings:personalization-background,,,browse photos|select wallpaper|pick image|custom wallpaper,Opens a file browser to select a custom photo for the desktop background.,Vision,,2026-06-22
personalization.background.choose-fit,Personalization,Background,,Choose a fit for your desktop image,ComboBox,Personalization > Background > Choose a fit for your desktop image,ms-settings:personalization-background,,,wallpaper fit|image fit|fill stretch center tile|background sizing,"Sets how the desktop background image fits the screen (Fill, Fit, Stretch, Tile, Center, Span).",Vision,,2026-06-22
personalization.background.contrast-themes,Personalization,Background,Related settings,Contrast themes,Hyperlink,Personalization > Background > Related settings > Contrast themes,ms-settings:personalization-background,,,high contrast|accessibility themes|low vision themes|light sensitivity,Opens contrast theme settings for low vision and light sensitivity.,Vision,,2026-06-22
personalization.background.help-with-background,Personalization,Background,Related support,Help with Background,Hyperlink,Personalization > Background > Related support > Help with Background,ms-settings:personalization-background,,,background help|wallpaper support|desktop background help,Provides support links and resources for background settings.,Vision,,2026-06-22
personalization.device-usage.development,Personalization,Device usage,,Development,Toggle,Personalization > Device usage > Development,ms-settings:personalization-deviceusage,,,dev usage|developer mode|app development|coding usage,"Personalizes tips, ads, and recommendations for app and website development.",Vision,,2026-06-22
personalization.device-usage.gaming,Personalization,Device usage,,Gaming,Toggle,Personalization > Device usage > Gaming,ms-settings:personalization-deviceusage,,,game usage|gamer mode|play games|discover games,"Personalizes tips, ads, and recommendations for gaming.",Vision,,2026-06-22
personalization.device-usage.family,Personalization,Device usage,,Family,Toggle,Personalization > Device usage > Family,ms-settings:personalization-deviceusage,,,family usage|family safety|parental controls|family profile,"Personalizes tips, ads, and recommendations for family and safety settings.",Vision,,2026-06-22
personalization.device-usage.creativity,Personalization,Device usage,,Creativity,Toggle,Personalization > Device usage > Creativity,ms-settings:personalization-deviceusage,,,creative usage|photo editing|video editing|content creation,"Personalizes tips, ads, and recommendations for photos and videos.",Vision,,2026-06-22
personalization.device-usage.school,Personalization,Device usage,,School,Toggle,Personalization > Device usage > School,ms-settings:personalization-deviceusage,,,education usage|student mode|study|schoolwork,"Personalizes tips, ads, and recommendations for note-taking and school projects.",Vision,,2026-06-22
personalization.device-usage.entertainment,Personalization,Device usage,,Entertainment,Toggle,Personalization > Device usage > Entertainment,ms-settings:personalization-deviceusage,,,media usage|watch videos|social media|streaming,"Personalizes tips, ads, and recommendations for videos, web browsing, and social media.",Vision,,2026-06-22
personalization.device-usage.business,Personalization,Device usage,,Business,Toggle,Personalization > Device usage > Business,ms-settings:personalization-deviceusage,,,work usage|business mode|productivity|professional,"Personalizes tips, ads, and recommendations for business and productivity.",Vision,,2026-06-22
personalization.device-usage.privacy-resources,Personalization,Device usage,,Privacy resources,Hyperlink,Personalization > Device usage > Privacy resources,ms-settings:personalization-deviceusage,,,device usage privacy|data privacy|privacy dashboard|privacy statement,Provides information about device usage privacy settings and your privacy.,Vision,,2026-06-22
personalization.fonts.browse-install-fonts,Personalization,Fonts,,Browse and install fonts,Button,Personalization > Fonts > Browse and install fonts,ms-settings:fonts,,,install fonts|add fonts|font files|drag drop fonts,Opens a file browser to install font files on the device.,Vision,,2026-06-22
personalization.fonts.get-more-fonts-store,Personalization,Fonts,,Get more fonts in the Microsoft Store,Hyperlink,Personalization > Fonts > Get more fonts in the Microsoft Store,ms-settings:fonts,,,microsoft store fonts|download fonts|font store|new fonts,Opens the Microsoft Store to browse and download additional fonts.,Vision,,2026-06-22
personalization.fonts.related-settings,Personalization,Fonts,,Related settings,Hyperlink,Personalization > Fonts > Related settings,ms-settings:fonts,,,font settings|font options|text settings,Opens related settings for font configuration.,Vision,,2026-06-22
personalization.taskbar.taskbar-items,Personalization,Taskbar,,Taskbar items,Hyperlink,Personalization > Taskbar > Taskbar items,ms-settings:personalization-taskbar,,,taskbar icons|show hide buttons|taskbar buttons,Show or hide buttons that appear on the taskbar.,Vision,,2026-06-22
personalization.taskbar.search,Personalization,Taskbar,Taskbar items,Search,ComboBox,Personalization > Taskbar > Taskbar items > Search,ms-settings:personalization-taskbar,,,search box|search icon|taskbar search|hide search,Controls the visibility of the Search box or icon on the taskbar.,Vision,,2026-06-22
personalization.taskbar.task-view,Personalization,Taskbar,Taskbar items,Task view,Toggle,Personalization > Taskbar > Taskbar items > Task view,ms-settings:personalization-taskbar,,,task view button|virtual desktops button|timeline button,Shows or hides the Task view button on the taskbar.,Vision,,2026-06-22
personalization.taskbar.widgets,Personalization,Taskbar,Taskbar items,Widgets,Toggle,Personalization > Taskbar > Taskbar items > Widgets,ms-settings:personalization-taskbar,,,widgets button|news interests|taskbar widgets,Shows or hides the Widgets button on the taskbar.,Vision,,2026-06-22
personalization.taskbar.resume,Personalization,Taskbar,Taskbar items,Resume,Toggle,Personalization > Taskbar > Taskbar items > Resume,ms-settings:personalization-taskbar,,,resume button|cross device|continue work|badge notification,Shows a badge notification on the Resume app when cross-device resume is available.,Vision,,2026-06-22
personalization.taskbar.system-tray-icons,Personalization,Taskbar,,System tray icons,Hyperlink,Personalization > Taskbar > System tray icons,ms-settings:personalization-taskbar,,,tray icons|notification area icons|system icons|hidden icons,Choose which icons can appear in the system tray.,Vision,,2026-06-22
personalization.taskbar.emoji-and-more,Personalization,Taskbar,System tray icons,Emoji and more,ComboBox,Personalization > Taskbar > System tray icons > Emoji and more,ms-settings:personalization-taskbar,,,emoji panel|touch keyboard icon|emoji tray|system tray emoji,Controls the visibility of the Emoji and more panel icon in the system tray.,Vision,,2026-06-22
personalization.taskbar.pen-menu,Personalization,Taskbar,System tray icons,Pen Menu,Toggle,Personalization > Taskbar > System tray icons > Pen Menu,ms-settings:personalization-taskbar,,,pen icon|stylus menu|pen tray|ink menu,Shows or hides the pen menu icon in the system tray when a pen is in use.,Vision,,2026-06-22
personalization.taskbar.touch-keyboard-tray,Personalization,Taskbar,System tray icons,Touch keyboard,ComboBox,Personalization > Taskbar > System tray icons > Touch keyboard,ms-settings:personalization-taskbar,,,on screen keyboard icon|osk tray|virtual keyboard icon,Controls when the touch keyboard icon appears in the system tray.,Vision,,2026-06-22
personalization.taskbar.other-system-tray-icons,Personalization,Taskbar,,Other system tray icons,Hyperlink,Personalization > Taskbar > Other system tray icons,ms-settings:personalization-taskbar,,,additional tray icons|more system tray|extra icons|hidden tray icons,Show or hide additional system tray icons.,Vision,,2026-06-22
personalization.taskbar.taskbar-behaviors,Personalization,Taskbar,,Taskbar behaviors,Hyperlink,Personalization > Taskbar > Taskbar behaviors,ms-settings:personalization-taskbar,,,taskbar settings|taskbar alignment|auto hide|multiple displays,"Expands settings for taskbar alignment, badging, auto-hide, and multiple displays.",Vision,,2026-06-22
personalization.taskbar.taskbar-position,Personalization,Taskbar,Taskbar behaviors,Taskbar position,RadioButton,Personalization > Taskbar > Taskbar behaviors > Taskbar position,ms-settings:personalization-taskbar,,,taskbar location|taskbar placement|bottom top left right|taskbar screen position,"Chooses where the taskbar is positioned on the screen (Bottom, Top, Left, Right).",Vision,,2026-06-22
personalization.taskbar.taskbar-icon-alignment,Personalization,Taskbar,Taskbar behaviors,Taskbar icon alignment,ComboBox,Personalization > Taskbar > Taskbar behaviors > Taskbar icon alignment,ms-settings:personalization-taskbar,,,icon alignment|taskbar left center|icon position|taskbar justify,Chooses how icons are positioned on the taskbar (Left or Center).,Vision,,2026-06-22
personalization.taskbar.automatically-hide-taskbar,Personalization,Taskbar,Taskbar behaviors,Automatically hide the taskbar,CheckBox,Personalization > Taskbar > Taskbar behaviors > Automatically hide the taskbar,ms-settings:personalization-taskbar,,,auto hide taskbar|hide taskbar|taskbar visibility|auto collapse,Automatically hides the taskbar when not in use.,Vision,,2026-06-22
personalization.taskbar.show-badges,Personalization,Taskbar,Taskbar behaviors,Show badges on taskbar apps,CheckBox,Personalization > Taskbar > Taskbar behaviors > Show badges on taskbar apps,ms-settings:personalization-taskbar,,,app badges|notification badges|taskbar notifications|badge count,Shows notification badges on taskbar app icons.,Vision,,2026-06-22
personalization.taskbar.show-flashing,Personalization,Taskbar,Taskbar behaviors,Show flashing on taskbar apps,CheckBox,Personalization > Taskbar > Taskbar behaviors > Show flashing on taskbar apps,ms-settings:personalization-taskbar,,,flash taskbar|taskbar alert|app flashing|notification flash,Flashes taskbar app icons when they require attention.,Vision,,2026-06-22
personalization.taskbar.show-taskbar-all-displays,Personalization,Taskbar,Taskbar behaviors,Show my taskbar on all displays,CheckBox,Personalization > Taskbar > Taskbar behaviors > Show my taskbar on all displays,ms-settings:personalization-taskbar,,,multi monitor taskbar|all screens taskbar|taskbar multiple displays,Shows the taskbar on all connected displays.,Vision,,2026-06-22
personalization.taskbar.multiple-displays-apps,Personalization,Taskbar,Taskbar behaviors,"When using multiple displays, show my taskbar apps on",ComboBox,"Personalization > Taskbar > Taskbar behaviors > When using multiple displays, show my taskbar apps on",ms-settings:personalization-taskbar,,,taskbar apps display|multi display apps|taskbar app location|all taskbars,Chooses which taskbar shows app icons when using multiple displays.,Vision,,2026-06-22
personalization.taskbar.share-any-window,Personalization,Taskbar,Taskbar behaviors,Share any window from my taskbar,CheckBox,Personalization > Taskbar > Taskbar behaviors > Share any window from my taskbar,ms-settings:personalization-taskbar,,,share window|taskbar share|window sharing|quick share,Allows sharing any window directly from the taskbar.,Vision,,2026-06-22
personalization.taskbar.show-desktop-corner,Personalization,Taskbar,Taskbar behaviors,Select the far corner of the taskbar to show the desktop,CheckBox,Personalization > Taskbar > Taskbar behaviors > Select the far corner of the taskbar to show the desktop,ms-settings:personalization-taskbar,,,show desktop|peek desktop|taskbar corner|desktop preview,Shows the desktop when clicking the far corner of the taskbar.,Vision,,2026-06-22
personalization.taskbar.combine-buttons,Personalization,Taskbar,Taskbar behaviors,Combine taskbar buttons and hide labels,ComboBox,Personalization > Taskbar > Taskbar behaviors > Combine taskbar buttons and hide labels,ms-settings:personalization-taskbar,,,combine buttons|taskbar grouping|hide labels|taskbar buttons,Chooses when to combine taskbar buttons and hide their labels.,Vision,,2026-06-22
personalization.taskbar.combine-buttons-other,Personalization,Taskbar,Taskbar behaviors,Combine taskbar buttons and hide labels on other taskbars,ComboBox,Personalization > Taskbar > Taskbar behaviors > Combine taskbar buttons and hide labels on other taskbars,ms-settings:personalization-taskbar,,,other taskbars combine|secondary taskbar buttons|multi monitor combine,Chooses when to combine taskbar buttons on other displays.,Vision,,2026-06-22
personalization.taskbar.show-smaller-buttons,Personalization,Taskbar,Taskbar behaviors,Show smaller taskbar buttons,ComboBox,Personalization > Taskbar > Taskbar behaviors > Show smaller taskbar buttons,ms-settings:personalization-taskbar,,,small taskbar|compact taskbar|tiny buttons|taskbar size,Chooses when to show smaller taskbar buttons.,Vision,,2026-06-22
personalization.taskbar.date-time-nav,Personalization,Taskbar,Related settings,Date & time,Hyperlink,Personalization > Taskbar > Related settings > Date & time,ms-settings:dateandtime,,,clock settings|time zone|calendar display|taskbar clock,"Opens Date & time settings for time zones, automatic clock, and calendar display.",Vision,,2026-06-22
personalization.taskbar.notifications-nav,Personalization,Taskbar,Related settings,Notifications,Hyperlink,Personalization > Taskbar > Related settings > Notifications,ms-settings:notifications,,,notification settings|alerts|do not disturb|app notifications,Opens notification settings for app and system alerts.,Vision,,2026-06-22
personalization.taskbar.help-with-taskbar,Personalization,Taskbar,Related support,Help with Taskbar,Hyperlink,Personalization > Taskbar > Related support > Help with Taskbar,ms-settings:personalization-taskbar,,,taskbar help|taskbar support|taskbar troubleshooting,Provides support links and resources for taskbar settings.,Vision,,2026-06-22
personalization.start.folders.settings,Personalization,Start,Folders,Settings,Toggle,Personalization > Start > Folders > Settings,ms-settings:personalization-start,,,start menu settings folder|settings shortcut|start folders,Shows or hides the Settings folder in the Start menu next to the Power button.,Vision,,2026-06-22
personalization.start.folders.file-explorer,Personalization,Start,Folders,File Explorer,Toggle,Personalization > Start > Folders > File Explorer,ms-settings:personalization-start,,,start menu explorer|file explorer shortcut|start folders,Shows or hides the File Explorer folder in the Start menu next to the Power button.,Vision,,2026-06-22
personalization.start.folders.documents,Personalization,Start,Folders,Documents,Toggle,Personalization > Start > Folders > Documents,ms-settings:personalization-start,,,start menu documents|documents shortcut|start folders,Shows or hides the Documents folder in the Start menu next to the Power button.,Vision,,2026-06-22
personalization.start.folders.downloads,Personalization,Start,Folders,Downloads,Toggle,Personalization > Start > Folders > Downloads,ms-settings:personalization-start,,,start menu downloads|downloads shortcut|start folders,Shows or hides the Downloads folder in the Start menu next to the Power button.,Vision,,2026-06-22
personalization.start.folders.music,Personalization,Start,Folders,Music,Toggle,Personalization > Start > Folders > Music,ms-settings:personalization-start,,,start menu music|music shortcut|start folders,Shows or hides the Music folder in the Start menu next to the Power button.,Vision,,2026-06-22
personalization.start.folders.pictures,Personalization,Start,Folders,Pictures,Toggle,Personalization > Start > Folders > Pictures,ms-settings:personalization-start,,,start menu pictures|pictures shortcut|start folders,Shows or hides the Pictures folder in the Start menu next to the Power button.,Vision,,2026-06-22
personalization.start.folders.videos,Personalization,Start,Folders,Videos,Toggle,Personalization > Start > Folders > Videos,ms-settings:personalization-start,,,start menu videos|videos shortcut|start folders,Shows or hides the Videos folder in the Start menu next to the Power button.,Vision,,2026-06-22
personalization.start.folders.network,Personalization,Start,Folders,Network,Toggle,Personalization > Start > Folders > Network,ms-settings:personalization-start,,,start menu network|network shortcut|start folders,Shows or hides the Network folder in the Start menu next to the Power button.,Vision,,2026-06-22
personalization.start.folders.personal-folder,Personalization,Start,Folders,Personal folder,Toggle,Personalization > Start > Folders > Personal folder,ms-settings:personalization-start,,,start menu personal|personal folder shortcut|start folders,Shows or hides the Personal folder in the Start menu next to the Power button.,Vision,,2026-06-22
personalization.start.show-recently-added-apps,Personalization,Start,Recommended,Show recently added apps,Toggle,Personalization > Start > Recommended > Show recently added apps,ms-settings:personalization-start,,,recent apps|new apps|start menu recent|recently installed,Shows recently added apps in the Recommended section of the Start menu.,Vision,,2026-06-22
personalization.start.show-recommended-files,Personalization,Start,Recommended,"Show recommended files in Start, recent files in File Explorer, and items in Jump Lists",Toggle,"Personalization > Start > Recommended > Show recommended files in Start, recent files in File Explorer, and items in Jump Lists",ms-settings:personalization-start,,,recommended files|recent files|jump lists|file explorer recent,Shows recommended files in Start and recent files in File Explorer and Jump Lists.,Vision,,2026-06-22
personalization.start.show-recommendations,Personalization,Start,Recommended,"Show recommendations for tips, shortcuts, new apps, and more",Toggle,"Personalization > Start > Recommended > Show recommendations for tips, shortcuts, new apps, and more",ms-settings:personalization-start,,,start recommendations|tips shortcuts|new app suggestions|start menu tips,"Shows recommendations for tips, shortcuts, and new apps in the Start menu.",Vision,,2026-06-22
personalization.start.show-most-used-apps,Personalization,Start,All,Show most used apps,Toggle,Personalization > Start > All > Show most used apps,ms-settings:personalization-start,,,frequently used apps|popular apps|start menu used|most opened,Shows most frequently used apps in the Start menu.,Vision,,2026-06-22
personalization.start.show-mobile-device,Personalization,Start,Other,Show mobile device in Start,Toggle,Personalization > Start > Other > Show mobile device in Start,ms-settings:personalization-start,,,phone in start|mobile notifications start|calls texts start|link to phone,"Shows calls, texts, and other mobile device notifications in the Start menu.",Vision,,2026-06-22
personalization.start.show-account-notifications,Personalization,Start,Other,Show account-related notifications,Toggle,Personalization > Start > Other > Show account-related notifications,ms-settings:personalization-start,,,account notifications|microsoft account alerts|start account info,Shows account-related notifications in the Start menu.,Vision,,2026-06-22
personalization.start.folders-nav,Personalization,Start,Other,Folders,Hyperlink,Personalization > Start > Other > Folders,ms-settings:personalization-start,,,start folders|start menu folders|power button folders,Choose which folders appear on Start next to the Power button.,Vision,,2026-06-22
personalization.start.help-with-start,Personalization,Start,Related support,Help with Start,Hyperlink,Personalization > Start > Related support > Help with Start,ms-settings:personalization-start,,,start menu help|start support|start menu troubleshooting,Provides support links and resources for Start menu settings.,Vision,,2026-06-22
personalization.text-input.custom-theme,Personalization,Text input,,Custom theme,Button,Personalization > Text input > Custom theme,ms-settings:personalization-textinput,,,text input theme|keyboard theme|voice typing theme|custom color theme,Creates a custom theme for text input appearance.,Vision,,2026-06-22
personalization.text-input.touch-keyboard,Personalization,Text input,,Touch keyboard,Hyperlink,Personalization > Text input > Touch keyboard,ms-settings:personalization-textinput,,,on screen keyboard|osk settings|virtual keyboard|touch keyboard options,Expands settings for the touch keyboard appearance and behavior.,Vision,,2026-06-22
personalization.text-input.keyboard-size,Personalization,Text input,Touch keyboard,Keyboard size,Slider,Personalization > Text input > Touch keyboard > Keyboard size,ms-settings:personalization-textinput,,,touch keyboard size|osk size|keyboard scale|virtual keyboard size,Adjusts the size of the touch keyboard.,Vision,,2026-06-22
personalization.text-input.show-key-background,Personalization,Text input,Touch keyboard,Show key background,CheckBox,Personalization > Text input > Touch keyboard > Show key background,ms-settings:personalization-textinput,,,key background|touch keyboard background|key opacity|keyboard transparency,Shows or hides the background behind touch keyboard keys.,Vision,,2026-06-22
personalization.text-input.key-text-size,Personalization,Text input,Touch keyboard,Key text size,ComboBox,Personalization > Text input > Touch keyboard > Key text size,ms-settings:personalization-textinput,,,keyboard font size|key label size|touch keyboard text|osk font,Sets the text size for touch keyboard key labels.,Vision,,2026-06-22
personalization.text-input.view-changes,Personalization,Text input,Touch keyboard,View your changes,Button,Personalization > Text input > Touch keyboard > View your changes,ms-settings:personalization-textinput,,,open keyboard|preview keyboard|test keyboard|show keyboard,Opens the touch keyboard to preview changes.,Vision,,2026-06-22
personalization.text-input.show-touch-keyboard-icon,Personalization,Text input,Related links,Show touch keyboard icon in taskbar,Hyperlink,Personalization > Text input > Related links > Show touch keyboard icon in taskbar,ms-settings:personalization-textinput,,,taskbar keyboard icon|touch keyboard tray|osk icon,Shows the touch keyboard icon in the taskbar system tray.,Vision,,2026-06-22
